Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Hydrological,Flood,Flood (General),Indonesia,2016,10,23.0,2016,11.0,10.0,,2.0,4500.0
Hydrological,Flood,Flood (General),Vietnam,2016,10,30.0,2016,11.0,5.0,28754.0,21.0,206340.0
Meteorological,Storm,Tropical cyclone,Philippines,2018,2,12.0,2018,2.0,16.0,3835.0,,254859.0
Hydrological,Flood,Flood (General),Indonesia,2016,12,21.0,2016,12.0,26.0,96718.0,,105753.0
Geophysical,Earthquake,Ground movement,Philippines,2016,3,30.0,2016,3.0,30.0,,8.0,202.0
Climatological,Drought,Drought,Cambodia,2016,5,,2016,5.0,,,,2500000.0
Hydrological,Flood,Flash flood,Indonesia,2021,11,4.0,2021,11.0,4.0,,9.0,1275.0
Hydrological,Landslide,Landslide (wet),Indonesia,2017,2,9.0,2017,2.0,12.0,2559.0,12.0,50500.0
Hydrological,Flood,Flash flood,Indonesia,2017,4,29.0,2017,4.0,29.0,,12.0,359.0
Hydrological,Flood,Flood (General),Malaysia,2017,1,23.0,2017,2.0,7.0,,,5481.0
Hydrological,Flood,Flood (General),Philippines,2017,2,1.0,2017,2.0,7.0,,13.0,334000.0
Meteorological,Storm,Tropical cyclone,Lao People's Democratic Republic,2017,7,17.0,2017,7.0,19.0,,,
Hydrological,Flood,Riverine flood,Indonesia,2020,2,11.0,2020,2.0,11.0,,,10905.0
Hydrological,Flood,Riverine flood,Myanmar,2017,7,2.0,2017,7.0,25.0,,3.0,92000.0
Meteorological,Storm,Tropical cyclone,Philippines,2017,7,25.0,2017,7.0,27.0,224.0,,7339.0
Hydrological,Flood,Flood (General),Vietnam,2017,10,8.0,2017,10.0,16.0,112617.0,75.0,40038.0
Hydrological,Flood,Flood (General),Myanmar,2018,8,29.0,2018,8.0,31.0,,7.0,63400.0
Hydrological,Flood,Flood (General),Malaysia,2017,11,3.0,2017,11.0,8.0,,7.0,3500.0
Meteorological,Storm,Tropical cyclone,Indonesia,2017,11,28.0,2017,11.0,29.0,,11.0,2035.0
Geophysical,Volcanic activity,Lava flow,Philippines,2018,1,13.0,2018,3.0,6.0,4452.0,,86056.0
Meteorological,Storm,Tropical cyclone,Philippines,2018,9,19.0,2018,9.0,19.0,23735.0,5.0,1709511.0
Hydrological,Landslide,Landslide (wet),Indonesia,2018,2,22.0,2018,2.0,22.0,,15.0,50014.0
Geophysical,Volcanic activity,Volcanic activity (General),Indonesia,2018,12,22.0,2018,12.0,22.0,312306.0,453.0,47778.0
Hydrological,Flood,Flood (General),Myanmar,2018,6,5.0,2018,6.0,14.0,,12.0,
Hydrological,Flood,Flood (General),Myanmar,2018,7,15.0,2018,8.0,10.0,,16.0,109650.0
Hydrological,Flood,Flash flood,Myanmar,2020,7,19.0,2020,7.0,30.0,,,25000.0
Hydrological,Flood,Flood (General),Indonesia,2018,12,6.0,2018,12.0,10.0,,9.0,5463.0
Meteorological,Storm,Tropical cyclone,Thailand,2019,1,4.0,2019,1.0,4.0,,7.0,720885.0
Hydrological,Landslide,Landslide (wet),Indonesia,2019,3,20.0,2019,3.0,20.0,,5.0,860.0
Hydrological,Flood,Flood (General),Malaysia,2019,6,2.0,2019,6.0,6.0,,,1000.0
Hydrological,Flood,Flood (General),Myanmar,2019,7,14.0,2019,7.0,14.0,,,6200.0
Hydrological,Flood,Flood (General),Malaysia,2019,10,26.0,2019,10.0,27.0,,,2412.0
Meteorological,Storm,Tropical cyclone,Philippines,2019,11,17.0,2019,11.0,17.0,,,3000.0
Meteorological,Storm,Tropical cyclone,Vietnam,2019,11,12.0,2019,11.0,13.0,4908.0,3.0,2150.0
Hydrological,Flood,Flood (General),Indonesia,2020,12,2.0,2020,12.0,10.0,,5.0,110000.0
Hydrological,Flood,Flood (General),Indonesia,2020,1,28.0,2020,1.0,29.0,,9.0,2122.0
Hydrological,Flood,Flood (General),Indonesia,2020,3,29.0,2020,4.0,1.0,,1.0,56488.0
Geophysical,Earthquake,Ground movement,Indonesia,2009,11,8.0,2009,11.0,8.0,3553.0,2.0,1510.0
Hydrological,Flood,Flash flood,Indonesia,2020,4,4.0,2020,4.0,5.0,,4.0,100.0
Hydrological,Flood,Flood (General),Indonesia,2020,4,30.0,2020,5.0,5.0,,2.0,110000.0
Geophysical,Earthquake,Ground movement,Indonesia,2021,10,16.0,2021,10.0,16.0,,3.0,4532.0
Hydrological,Flood,Flood (General),Indonesia,2020,4,20.0,2020,4.0,28.0,,,2000.0
Hydrological,Flood,Flood (General),Indonesia,2020,5,8.0,2020,5.0,8.0,,7.0,3805.0
Meteorological,Storm,Tropical cyclone,Philippines,2020,5,15.0,2020,5.0,17.0,37694.0,5.0,578740.0
Hydrological,Flood,Flash flood,Indonesia,2020,6,11.0,2020,6.0,15.0,2545.0,7.0,12003.0
Geophysical,Earthquake,Ground movement,Lao People's Democratic Republic,2021,12,24.0,2021,12.0,24.0,139.0,,
Meteorological,Storm,Tropical cyclone,Lao People's Democratic Republic,2020,10,6.0,2020,10.0,20.0,,2.0,69764.0
Meteorological,Storm,Tropical cyclone,Thailand,2020,9,18.0,2020,9.0,21.0,,1.0,
Meteorological,Storm,Tropical cyclone,Vietnam,2020,9,18.0,2020,9.0,21.0,39997.0,6.0,125000.0
Meteorological,Storm,Tropical cyclone,Philippines,2020,10,28.0,2020,10.0,28.0,105568.0,31.0,888415.0
Meteorological,Storm,Tropical cyclone,Vietnam,2020,11,15.0,2020,11.0,15.0,,,
Meteorological,Storm,Tropical cyclone,Vietnam,2020,11,10.0,2020,11.0,10.0,6375.0,2.0,5000.0
Hydrological,Flood,Flood (General),Thailand,2020,12,16.0,2020,12.0,21.0,,1.0,139000.0
Meteorological,Storm,Tropical cyclone,Cambodia,2009,11,2.0,2009,11.0,3.0,,2.0,
Geophysical,Earthquake,Ground movement,Indonesia,2021,1,15.0,2021,1.0,15.0,67954.0,110.0,100653.0
Hydrological,Flood,Flood (General),Indonesia,2021,1,15.0,2021,1.0,21.0,,21.0,126025.0
Hydrological,Flood,Flood (General),Indonesia,2021,12,31.0,2022,1.0,4.0,,2.0,27500.0
Hydrological,Landslide,Landslide (wet),Indonesia,2021,2,14.0,2021,2.0,14.0,,19.0,191.0
Meteorological,Storm,Severe weather,Thailand,2021,3,22.0,2021,3.0,23.0,,2.0,900.0
Meteorological,Storm,Tropical cyclone,Timor-Leste,2021,4,5.0,2021,4.0,6.0,,41.0,143670.0
Hydrological,Flood,Flood (General),Philippines,2021,2,11.0,2021,2.0,12.0,,1.0,18170.0
Hydrological,Flood,Flood (General),Indonesia,2021,3,17.0,2021,3.0,18.0,,,1974.0
Hydrological,Landslide,Landslide (wet),Indonesia,2021,4,29.0,2021,5.0,1.0,,13.0,1470.0
Meteorological,Storm,Tropical cyclone,Lao People's Democratic Republic,2021,6,13.0,2021,6.0,13.0,,,26000.0
Hydrological,Flood,Flood (General),Malaysia,2021,5,20.0,2021,6.0,3.0,,,5782.0
Hydrological,Flood,Flood (General),Indonesia,2021,9,13.0,2021,9.0,14.0,,,11839.0
Hydrological,Flood,Flood (General),Thailand,2021,8,27.0,2021,8.0,31.0,,,325400.0
Meteorological,Storm,Tropical cyclone,Vietnam,2021,10,22.0,2021,10.0,27.0,8682.0,5.0,82500.0
